,LOSS,RMSE,NLL,CRPS
0,0.0,0.10030682,654473.94,0.0
1,0.0,0.07213232,199129.14,0.0
2,0.0,0.15740459,508793.2,0.0
3,0.0,0.12566821,716858.4,0.0
4,0.0,0.08156217,380861.3,0.0
5,0.0,0.08927161,464928.6,0.0
6,0.0,0.08778644,593748.1,0.0
7,0.0,0.114908166,827977.2,0.0
8,0.0,0.10428636,693253.44,0.0
9,0.0,0.26643312,407028.0,0.0
10,0.0,0.4244028,766079.5,0.0
11,0.0,0.09365335,488679.66,0.0
12,0.0,0.19000757,432593.06,0.0
13,0.0,0.10377831,470843.78,0.0
14,0.0,0.09899877,514834.88,0.0
15,0.0,0.09191008,419388.62,0.0
16,0.0,0.09206751,585546.8,0.0
17,0.0,0.1320863,1151886.9,0.0
18,0.0,0.116655126,852429.94,0.0
19,0.0,0.10092446,514840.72,0.0
